Sub-guild,HerbivoreOrder,HerbivoreFamily,Herbivore,Host Family,Host Plant,MA Variable,VC Variable,Reference,d,var
Chewer,,,Chewing Insects,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[24],0.5715,0.1388
Free-living,Orthoptera,,multiple species,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-0.3286,0.2534
Free-living,Orthoptera,Acrididae,Bootettix argentalusBruner,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],0.7464,0.2674
Free-living,Coleoptera,NA,multiple species,Myrtaceae,Eucalyptus camaldulensisDehnh.,DEN,DEN,[42],0.517,0.3445
Free-living,Coleoptera,NA,multiple species,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-1.7749,0.3484
Free-living,Coleoptera,Chrysomelidae,Leptinotarsa decemlineata(Say),Solanaceae,Solanum berthaultiiHawkes,SURV,FIT,[35],-0.1309,0.0954
Free-living,Coleoptera,Chrysomelidae,Paropsis atomariaOliver,Myrtaceae,Eucalyptus camaldulensisDehnh.,FEC,FIT,[30],0.3199,0.1286
Free-living,Coleoptera,Coccinellidae,Epilachna varivestisMuslant,Fabaceae,"Glycine max(L.) 
          Merr.",SURV,FIT,[29],-1.398,0.425
Free-living,Lepidoptera,Geometridae,Semiothesia sp.,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],0.9251,0.2767
Free-living,Lepidoptera,Lasiocampidae,Malacosoma disstriaHubner,Aceraceae,Acer saccharumMarsh.,RGR,FIT,[38],-0.8577,0.1213
Free-living,Lepidoptera,Lasiocampidae,Malacosoma disstriaHubner,Salicaceae,Populus tremuloidesMichx.,RGR,FIT,[38],-1.1451,0.1293
Free-living,Lepidoptera,Lymantriidae,Lymantria disparL.,Betulaceae,Betula papyriferaCloneS5,FEC,FIT,[43],0.3924,0.2912
Free-living,Lepidoptera,Lymantriidae,Lymantria disparL.,Betulaceae,Betula papyriferaCloneS5,RGR,FIT,[43],0.2358,0.1489
Free-living,Lepidoptera,Noctuidae,Helicoverpa zea(Boddie),Poaceae,Zea maysL.,DEN,DEN,[41],0.5256,0.0694
Free-living,Lepidoptera,Noctuidae,Helicoverpa zea(Boddie),Solanaceae,Lycopersicon esculentumvar. Agriset,RGR,FIT,[18],-1.3022,0.1731
Free-living,Lepidoptera,Noctuidae,Mythimna convecta(Walker),Poaceae,"Astrebla lappacea(Lindl.) 
          Domin",SURV,FIT,[36],-6.4342,4.1166
Free-living,Lepidoptera,Pieridae,Pieris rapaeL.,Brassicaceae,Brassica napusL.,FEC,FIT,[30],0.657,0.0785
Free-living,Lepidoptera,Pieridae,Pieris rapaeL.,Brassicaceae,Brassica oleraceaL.,PREF,PREF,[34],-0.8235,0.217
Free-living,Hymenoptera,Dipronidae,Neodiprion autumnalisSmith,Pinaceae,"Pinus ponderosaDoug 
          ex. Laws",FEC,FIT,"[27, 45]",-0.5335,0.0531
Free-living,Hymenoptera,Dipronidae,Neodiprion autumnalisSmith,Pinaceae,"Pinus ponderosaDoug 
          ex. Laws",SURV,FIT,[27],-0.7661,0.1073
Free-living,Hymenoptera,Diprionidae,Neodiprion fulvicepsCresson,Pinaceae,"Pinus ponderosaDoug 
          ex. Laws",RGR,FIT,[45],-0.3417,0.0564
Free-living,Hymenoptera,Diprionidae,Neodiprion gilletei(Rohwer),Pinaceae,"Pinus ponderosaDoug 
          ex. Laws",FEC,FIT,[28],-0.5255,0.0105
Free-living,Hymenoptera,Diprionidae,Neodiprion gilletei(Rohwer),Pinaceae,"Pinus ponderosaDoug 
          ex. Laws",SURV,FIT,[28],-1.5185,0.1327
Free-living,Hymenoptera,Diprionidae,Neodiprion sertifer(Geoff.),Pinaceae,Pinus silvestrisL.,FEC,FIT,[5],1.5792,0.2101
Free-living,Hymenoptera,Diprionidae,Neodiprion sertifer(Geoff.),Pinaceae,Pinus silvestrisL.,RGR,FIT,[5],1.3868,0.1987
Free-living,Hymenoptera,Diprionidae,Neodiprion sertifer(Geoff.),Pinaceae,Pinus silvestrisL.,SURV,FIT,[5],0.3401,0.0781
Borer,Coleoptera,Buprestidae,Agrilus bilineatus(Weber),Fagaceae,Quercus albaL.,DEN,DEN,[8],2.3513,0.6764
Borer,Coleoptera,Cerambycidae,Phoracantha semipunctata(F.),Myrtaceae,Eucalyptus globulus(Labill.),FEC,FIT,[4],2.9787,0.5273
Borer,Coleoptera,Cerambycidae,Phoracantha semipunctata(F.),Myrtaceae,Eucalyptus globulus(Labill.),SURV,FIT,[4],5.3156,1.133
Borer,Coleoptera,Cerambycidae,Phoracantha semipunctata(F.),Myrtaceae,Eucalyptus tereticornisSm.,SURV,FIT,[15],0.7568,0.5691
Borer,Coleoptera,Scolytidae,Dendroctonus frontalisZimm.,Pinaceae,Pinus taedaL.,DEN,DEN,[9],-1.3256,0.3049
Borer,Coleoptera,Scolytidae,Dendroctonus frontalisZimm.,Pinaceae,Pinus taedaL.,PREF,PREF,[9],-0.2609,0.2521
Borer,Coleoptera,Scolytidae,Dendroctonus ponderosaeHopkins,Pinaceae,"Pinus contortaDouglas 
          var. latifolia Engelmann",DEN,DEN,[32],0.9325,0.6454
Borer,Lepidoptera,Gelechiidae,Pectinophora gossypiella(Saunders),Malvaceae,Gossypium hirsutumL.,DEN,DEN,[11],0.7802,0.1793
Miner,Lepidoptera,Gelechiidae,Aproaerema modicella(Deventer),Fabaceae,Arachis hypogeaeL.,DEN,DEN,[48],4.7982,0.3169
Miner,Lepidoptera,Gracilleriidae,Cameraria sp.B,Fagaceae,Quercus emoryiTorr.,DEN,DEN,[3],-1.0582,0.57
Miner,Lepidoptera,Yponomeutidae,Prays fraxinellaBjerk.,Oleaceae,Fraxinus excelsiorL.,DEN,DEN,[12],1.0648,0.1522
Miner,Diptera,Agromyzidae,Agromyza nigripesMeigen,Poaceae,Holcus lanatusL.,FEC,FIT,[7],-1.571,0.4414
Miner,Diptera,Agromyzidae,Agromyza nigripesMeigen,Poaceae,Holcus lanatusL.,RGR,FIT,[7],-1.5984,0.8796
Miner,Diptera,Agromyzidae,Liriomyza trifolii(Burgess),Solanaceae,Lycopersicon esculentumvar. Agriset,PREF,PREF,[18],-1.9738,0.2124
Miner,Diptera,Drosophilidae,Scaptomyza nigritaWheeler,Brassicaceae,Cardamine cordifoliaA. Gray,DEN,DEN,[25],4.0037,1.2015
Gall Former,Diptera,Cecidomyiidae,multiple species,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],0.5697,0.2601
Gall Former,Diptera,Cecidomyiidae,Asphondylia clavataGagne,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-2.3228,0.4186
Gall Former,Diptera,Cecidomyiidae,Asphondylia digitataGagne,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-1.2323,0.2975
Gall Former,Diptera,Cecidomyiidae,Asphondylia resinosaGagne,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-0.585,0.2607
Gall Former,Diptera,Cecidomyiidae,Asphondylia siliculaGagne,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-1.6456,0.3346
Gall Former,Diptera,Cecidomyiidae,Asphondylia villosaGagne,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-1.6312,0.3332
Gall Former,Hymenoptera,Tenthredinidae,Euura lasiolepisSmith,Salicaceae,Salix lasiolepisBentham,DEN,DEN,"[6, 46]",-1.09125,0.0959
Gall Former,Hymenoptera,Tenthredinidae,Euura lasiolepisSmith,Salicaceae,Salix lasiolepisBentham,SURV,FIT,"[37, 46]",-2.6405,0.3191
Sap-feeder,NA,NA,Sap-feeding insects,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[24],-0.5292,0.138
Sap-feeder,Hemiptera,NA,multiple species,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],0.0602,0.2501
Sap-feeder,Hemiptera,Cicadellidae,Cicadellid 1,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],0,0.25
Sap-feeder,Hemiptera,Cicadellidae,Cicadellid 2,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-1.1556,0.2917
Sap-feeder,Hemiptera,Coccoidea,multiple species,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-0.1067,0.2504
Phloem,Hemiptera,Adelgidae,Adelges abietisL.,Pinaceae,Picea abiesKarst,DEN,DEN,[2],-0.5724,0.1301
Phloem,Hemiptera,Adelgidae,Adelges abietisL.,Pinaceae,Picea abiesKarst,FEC,FIT,[2],-0.428,0.1279
Phloem,Hemiptera,Adelgidae,Adelges abietisL.,Pinaceae,Picea abiesKarst,SURV,FIT,[2],-0.6955,0.1326
Phloem,Hemiptera,Aleyrodidae,Bemisia argentifoliiBellows & Perring,Malvaceae,Gossypium hirsutumL.,FEC,FIT,[40],-0.1215,0.1336
Phloem,Hemiptera,Aleyrodidae,"Bemisia argentifolii Bellows 
          & Perring",Solanaceae,Lycopersicon esculentumvar. Agriset,PREF,PREF,[18],-1.0835,0.1638
Phloem,Hemiptera,Aleyrodidae,"Bemisia tabaci(Gennadius) 
          B-biotype",Cucurbitacae,Cucumis meloL.,FEC,FIT,[19],0.4358,0.2559
Phloem,Hemiptera,Aleyrodidae,"Bemisia tabaci(Gennadius) 
          B-biotype",Cucurbitacae,Cucumis meloL.,RGR,FIT,[19],0.2595,0.2521
Phloem,Hemiptera,Aleyrodidae,"Bemisia tabaci(Gennadius) 
          B-biotype",Malvaceae,Gossypium hirsutumL.,DEN†,DEN,[11],1.2705,0.2003
Phloem,Hemiptera,Aleyrodidae,"Bemisia tabaci(Gennadius) 
          B-biotype",Malvaceae,Gossypium hirsutumL.,PREF,PREF,[11],1.4272,0.2091
Phloem,Hemiptera,Aphididae,Aphis fabaeScop.,Brassicaeae,Capsella bursa-pastoris(L.) Medic.,FEC,FIT,[13],1.3614,0.1234
Phloem,Hemiptera,Aphididae,Aphis fabaeScop.,Brassicaeae,Capsella bursa-pastoris(L.) Medic.,RGR,FIT,[13],0.9394,0.1154
Phloem,Hemiptera,Aphididae,Aphis fabaeScop.,Celastraceae,Euonymus euopaeusL.,DEN‡,DEN,"[20, 21]",-2.0464,0.7617
Phloem,Hemiptera,Aphididae,Aphis fabaeScop.,Celastraceae,Euonymus euopaeusL.,FEC,FIT,"[20, 21]",-4.1142,1.5579
Phloem,Hemiptera,Aphididae,Aphis fabaeScop.,Fabaceae,Vicia fabaL.,FEC,FIT,[21],-1.8456,0.9505
Phloem,Hemiptera,Aphididae,Aphis fabaeScop.,Fabaceae,Vicia fabaL.,SURV,FIT,[21],-1.6524,0.8942
Phloem,Hemiptera,Aphididae,Brevicoryne brassicae(L).,Brassicaceae,Brassica napusL.,FEC,FIT,[31],1.7775,0.1116
Phloem,Hemiptera,Aphididae,Cinara costataZett.,Pinaceae,Picea abiesKarst,FEC,FIT,[23],0.3721,0.2035
Phloem,Hemiptera,Aphididae,Diruraphis noxia(Mordvilko),Poaceae,Triticum aestivumL.,DEN†,DEN,[1],1.8034,0.3518
Phloem,Hemiptera,Aphididae,Elatobium abietinum(Walker),Pinaceae,"Picea sitchensis(Bang.) 
          Carr.",DEN‡,DEN,"[26, 47]",-1.8838,0.1964
Phloem,Hemiptera,Aphididae,Elatobium abietinum(Walker),Pinaceae,"Picea sitchensis(Bang.) 
          Carr.",DEN†,DEN,"[26, 47]",4.148,1.2603
Phloem,Hemiptera,Aphididae,Pemphigus betaeDoane,Chenopodiaceae,Chenopodium albumL.,FEC,FIT,[33],-1.009,0.1409
Phloem,Hemiptera,Aphididae,Pemphigus betaeDoane,Polygonaceae,Rumex crispusL.,FEC,FIT,[33],-1.1204,0.1446
Phloem,Hemiptera,Aphididae,Sitobion avenaeF.,Poaceae,Triticum aestivumL.,FEC,FIT,[10],-0.1185,0.2504
Phloem,Hemiptera,Aphididae,Sitobion avenaeF.,Poaceae,Triticum aestivumL.,SURV,FIT,[10],-0.5859,0.2647
Phloem,Hemiptera,Cicadellidae,Empoasca fabae(Harris),Fabaceae,Medicago sativaL.,DEN,DEN,"[16, 17]",-4.8878,1.5945
Phloem,Hemiptera,Cicadellidae,Empoasca fabae(Harris),Fabaceae,Medicago sativaL.,FEC,FEC,[17],-1.154,0.0363
Phloem,Hemiptera,Cicadellidae,Empoasca fabae(Harris),Fabaceae,Medicago sativaL.,RGR,FIT,[17],-1.1174,0.0194
Phloem,Hemiptera,Cicadellidae,Empoasca fabae(Harris),Fabaceae,Medicago sativaL.,SURV,FIT,[17],-0.2393,0.3
Phloem,Hemiptera,Cicadellidae,Empoasca kerriPruthi,Fabaceae,Arachis hypogaeaL.,DEN,DEN,[48],-3.7572,0.2821
Phloem,Hemiptera,Membracidae,multiple species,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],0.1993,0.2512
Phloem,Hemiptera,Membracidae,Multireoides sp.,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-1.8783,0.3603
Phloem,Hemiptera,Psyllidae,multiple species,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-0.3088,0.253
Phloem,Hemiptera,Psyllidae,Aphalara sp.,Brassicaeae,Cardamine cordifoliaA. Gray,DEN‡,DEN,[25],-4.63,1.4718
Phloem,Hemiptera,Psyllidae,Aphalara sp.,Brassicaeae,Cardamine cordifoliaA. Gray,PREF,PREF,[25],-3.1698,0.9024
Phloem,Hemiptera,Tachardiidae,Tachardiella larreae(Comstock),Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],0.5067,0.258
Mesophyll,Hemiptera,Cicadellidae,Erythroneura elegantulaOsborn,Vitaceae,Vitis viniferaL.,DEN,DEN,[44],-2.5958,1.2282
Mesophyll,Hemiptera,Cicadellidae,Erythroneura variabilisBeamer,Vitaceae,Vitis viniferaL.,DEN,DEN,[44],-2.0568,1.0192
Mesophyll,Hemiptera,Miridae,Lygus hesperusKnight,Malvaceae,Gossypium hirsitumL.,DEN,DEN,[11],-1.8906,0.5787
Mesophyll,Hemiptera,Miridae,Parthenicus sp.,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-1.2024,0.2952
Mesophyll,Hemiptera,Miridae,Phytocoris sp.,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-0.5935,0.261
Mesophyll,Hemiptera,Miridae,Phytocoris vanduzeeiReuter,Zygophyllaceae,"Larrea tridentata[DC] 
          Cov.",DEN,DEN,[39],-0.1173,0.2504
Mesophyll,Hemiptera,Miridae,Pseudatomoscelis seriatus(Reuter),Malvaceae,Gossypium hirsutumL.,DEN,DEN,[11],-1.3749,0.6181
Xylem,Hemiptera,Diaspididae,Pseudaulacaspis pentagona(Targioni Tozzetti),Moraceae,Morus albaL.,SURV,FIT,[14],-0.3294,0.2027
Gall Former,Hemiptera,Phylloxeridae,Daktulosphaira vitifoliae(Fitch),Vitaceae,Vitis arizonicaEngelm.,DEN,DEN,[22],-1.2332,0.2975
