species,slope,slope_SE,mass_f,id_population,id_species,broods,migr2,meanFED,meanFED_SE,duration,duration_SE,losses,losses_SE,clutch,clutch_se,t1_slope,t2_slope,t4_slope
Oceanodroma_furcata,0.12514,0.0369,55.3,100,58,0,1,NA,NA,NA,NA,-2.606,0.772,NA,NA,0.042063492,0.07213868,0.061539265
Oceanodroma_furcata,0.02671,0.032,55.3,101,58,0,1,-1.591,0.257,0.738,0.398,-0.35,0.419,NA,NA,0.014299517,0.041642512,0.031376812
Oceanodroma_furcata,0.00989,0.053,55.3,102,58,0,1,NA,NA,NA,NA,-0.154,0.823,NA,NA,-0.055443609,-0.008,0.037408244
Oceanodroma_leucorhoa,0.01904,0.04046,39.8,103,59,0,1,-0.312,0.161,0.215,0.277,-0.093,0.198,NA,NA,0.02431928,0.031236276,0.036542966
Oceanodroma_leucorhoa,0.05656,0.0124,39.8,104,59,0,1,NA,NA,NA,NA,-0.838,0.184,0.062742685,0.011179142,0.022064499,0.010595993,0.011873301
Oceanodroma_leucorhoa,-0.0008,0.03253,39.8,105,59,0,1,-0.346,0.16,0.296,0.311,0.007,0.256,NA,NA,0.055281072,0.021958718,0.035193237
Oceanodroma_monteiroi,-0.0646,0.04142,44.6,106,60,0,0,NA,NA,NA,NA,0.897,0.593,NA,NA,0.02,-0.009649123,0.019766082
Oenanthe_oenanthe,-0.0145,0.02706,22.3,107,61,0,1,-0.214,0.07,-0.151,0.261,0.006,0.003,0.044976712,0.02562134,0.061207271,0.081915891,0.047759369
Pachyptila_belcheri,-0.0423,0.06388,145,108,62,0,1,0.207,0.133,0.211,0.217,0.006,0.01,NA,NA,0.115686275,-0.022794118,-0.03251634
Panurus_biarmicus,0.02716,0.02775,15.7,109,63,1,0,-0.625,0.448,0.292,0.405,0.013,0.009,NA,NA,-0.005421147,0.060604839,0.063772401
Parus_major,-0.0264,0.00957,19,110,64,1,0,-0.228,0.053,0.075,0.045,0.234,0.08,-0.007499507,0.010256039,0.037728022,0.073498226,0.03848554
Parus_major,-0.0106,0.0102,19,111,64,1,0,-0.201,0.054,0.06,0.08,0.15,0.116,-0.01296873,0.010139256,0.037728022,0.073498226,0.03848554
Parus_major,-0.0298,0.00936,19,112,64,1,0,-0.203,0.056,0.169,0.072,-0.143,0.176,-0.039377885,0.008566861,0.037728022,0.073498226,0.03848554
Parus_major,-0.0317,0.00922,19,113,64,1,0,-0.152,0.044,0.13,0.063,-0.015,0.104,-0.048499158,0.007505787,0.035198413,0.065770975,0.042933673
Parus_major,0.06235,0.03508,19,114,64,1,0,0.584,0.265,-0.569,0.462,-0.21,0.476,0.116231071,0.026914157,-0.004545455,0.012337662,0.063588264
Parus_major,0.07604,0.02841,19,115,64,1,0,0.036,0.161,0.078,0.262,-0.135,0.297,0.118225071,0.020412537,0.043173212,0.069804018,0.06911726
Parus_major,0.04303,0.01721,19,116,64,0,0,-0.27,0.116,0.078,0.145,-0.159,0.166,0.016037434,0.018641103,0.046826376,0.072801136,0.048645042
Parus_major,0.01211,0.02171,19,117,64,1,0,-0.205,0.11,0.101,0.125,-0.005,0.062,0.000720767,0.021833497,-0.011477833,-0.02817734,0.035320197
Passer_domesticus,-0.0417,0.02585,27.4,118,65,1,0,0.268,0.17,0.664,0.538,0.232,0.208,0.011805837,0.027109654,0.005754986,0.078822412,0.057917569
Passerculus_sandwichensis,-0.0171,0.048,19.5,119,66,1,1,0.341,0.092,-0.301,0.018,0.452,0.517,-0.014652618,0.044137908,0.042787524,-0.039376218,-0.080745073
Perisoreus_infaustus,0.0448,0.03714,82,120,67,0,0,-0.237,0.19,0.607,0.198,-0.852,0.756,0.046281145,0.037543107,-0.024610433,0.075380669,0.076054187
Phaethon_lepturus,0.02738,0.07844,334,121,68,0,1,NA,NA,NA,NA,-0.116,0.334,NA,NA,0.020436508,0.007142857,0.021908069
Phalacrocorax_auritus,-0.0404,0.06482,1540,122,69,0,1,NA,NA,NA,NA,1.738,2.313,NA,NA,0.034457058,0.080266025,0.043744983
Phalacrocorax_capillatus,-0.0589,0.04588,2500,123,70,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.016615067,0.021465428,0.024664603
Phalacrocorax_pelagicus,-0.0512,0.03766,1702,124,71,0,1,NA,NA,NA,NA,1.952,1.344,NA,NA,0.015700483,0.02431928,0.034639877
Phalacrocorax_pelagicus,0.0194,0.02325,1702,125,71,0,1,NA,NA,NA,NA,0.415,0.314,NA,NA,0.018062687,0.022064499,0.011969082
Phalacrocorax_pelagicus,-0.0662,0.03199,1702,126,71,0,1,NA,NA,NA,NA,1.123,0.828,-0.023033133,0.038755991,-0.008783487,0.063617542,0.034109208
Phalacrocorax_pelagicus,-0.0437,0.05679,1702,127,71,0,1,NA,NA,NA,NA,NA,NA,-0.108414311,0.052151326,0.046895425,-0.021078431,-0.023556645
Phalacrocorax_urile,-0.024,0.05212,1788,128,72,0,0,NA,NA,NA,NA,0.581,1.475,NA,NA,-0.002453102,0.061183261,0.029220779
Phalacrocorax_urile,-0.0657,0.0453,1788,129,72,0,0,NA,NA,NA,NA,1.809,0.943,NA,NA,-0.037851164,0.017257195,0.017138707
Phalacrocorax_urile,0.01676,0.01417,1788,130,72,0,0,-0.216,0.14,0.079,0.385,-0.082,0.315,0.013000065,0.014657731,0.009589248,0.002703111,0.014371288
Phalacrocorax_urile,-0.0165,0.06339,1788,131,72,0,0,NA,NA,NA,NA,-0.263,1.295,-0.012820179,0.064374722,-0.049736842,0.015280702,0.005750487
Philetairus_socius,0.01999,0.05882,26.7,132,73,1,0,NA,NA,3.464,3.081,-0.171,0.475,NA,NA,-0.034141671,0.010934698,-0.006428653
Phoebastria_immutabilis,0.01939,0.04403,2853,133,74,0,1,NA,NA,-3.049,0.4,-0.314,0.699,NA,NA,0.033528265,0.002826511,-0.044175916
Phoebastria_nigripes,0.1031,0.04071,3148,134,75,0,1,NA,NA,-1.635,0.694,-0.898,0.351,NA,NA,0.033528265,0.002826511,-0.054260652
Phoenicurus_phoenicurus,-0.0178,0.04388,14.5,135,76,1,1,-0.18,0.178,0.009,0.401,0.194,0.737,0.034749621,0.043093566,0.04092437,0.026834734,0.046797386
Phoenicurus_phoenicurus,0.03185,0.03004,14.5,136,76,0,1,-0.019,0.187,-0.182,0.272,0.119,0.365,-0.037773745,0.029728093,0.121695652,-0.156067633,0.074422705
Plectrophenax_nivalis,0.05826,0.05618,42.2,137,77,0,1,-0.204,0.226,0.16,0.424,0.066,0.4,0.009098805,0.057926083,0.152647059,0.203382353,0.061029412
Podiceps_grisegena,0.0753,0.04034,1023,138,78,0,1,0.042,0.132,0,0.395,-0.734,0.456,0.065716456,0.041312782,0.103859649,0.09245614,0.050643275
Protonotaria_citrea,0.05557,0.04218,14.3,139,79,1,1,-0.216,0.237,-0.142,0.224,-1.679,0.488,0.104626613,0.036288554,0.228070175,0.104288499,0.091617934
Protonotaria_citrea,0.0643,0.02976,14.3,140,79,1,1,0.43,0.137,0.537,0.402,2.644,0.743,-0.099439644,0.024726148,0.05324989,0.140425999,0.087944664
Pygoscelis_adeliae,-0.0734,0.04055,5085,141,80,0,1,-0.132,0.176,0.174,0.272,-0.509,1.498,NA,NA,-0.03369371,0.01012268,-0.01724974
Pygoscelis_adeliae,0.03266,0.03422,5085,142,80,0,1,0.135,0.122,-0.036,0.161,0.003,0.007,NA,NA,0.106511858,0.001679842,-0.027992639
Pygoscelis_antarcticus,-0.0033,0.02076,4150,143,81,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.002317073,-0.004695122,-0.004979013
Rissa_brevirostris,0.01519,0.02164,382,144,82,0,1,-0.116,0.131,-0.452,0.222,-0.22,0.314,-0.024471635,0.021338516,0.018180695,0.023606476,0.02753059
Rissa_brevirostris,-0.0041,0.01722,382,145,82,0,1,-0.438,0.13,0.156,0.089,0.064,0.297,-0.011443016,0.016948642,0.018351214,0.028345567,0.036589497
Rissa_brevirostris,0.02298,0.01995,382,146,82,0,1,-0.736,0.099,-0.086,0.223,0.182,0.286,-0.051004884,0.021340894,0.002703111,0.008728481,0.017192691
Rissa_tridactyla,0.00996,0.04812,393,147,83,0,1,NA,NA,NA,NA,-0.492,0.459,NA,NA,-0.000206398,-0.022910217,-0.010388717
Rissa_tridactyla,-0.0582,0.01652,393,148,83,0,1,NA,NA,NA,NA,1.095,0.361,NA,NA,0.068746286,0.058810797,0.051591546
Rissa_tridactyla,-0.0209,0.01327,393,149,83,0,1,-0.496,0.112,0.018,0.201,0.249,0.355,0.006952974,0.013707521,0.002703111,0.008728481,0.017192691
Rissa_tridactyla,-0.0088,0.01803,393,150,83,0,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.012061794,0.038562092,-0.025362872
Rissa_tridactyla,0.0055,0.02181,393,151,83,0,1,0.136,0.157,-0.448,0.217,-0.069,0.296,-0.022326317,0.021422368,0.018180695,0.023606476,0.02753059
Rissa_tridactyla,-0.0315,0.0252,393,152,83,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.052116402,0.092250233,0.03924681
Rissa_tridactyla,-0.0155,0.01834,393,153,83,0,1,-0.045,0.142,0.098,0.102,0.366,0.398,0.044061303,0.015857886,0.011909582,0.015283401,0.017808142
Rissa_tridactyla,-0.0664,0.03221,393,154,83,0,1,NA,NA,NA,NA,1.747,0.84,NA,NA,0.016835749,0.035483092,0.023985507
Rissa_tridactyla,0.00531,0.01704,393,155,83,0,1,-0.424,0.184,-0.183,0.157,-0.099,0.323,0.003672481,0.01705332,0.018351214,0.028345567,0.036589497
Rissa_tridactyla,-0.0266,0.03474,393,156,83,0,1,NA,NA,NA,NA,NA,NA,-0.013626444,0.036433409,-0.007560073,0.002603677,-0.006070017
Rissa_tridactyla,-0.0554,0.01879,393,157,83,0,1,-0.384,0.218,0.235,0.186,1.303,0.496,NA,NA,0.010725806,0.033669355,0.017298387
Rissa_tridactyla,0.04263,0.0761,393,158,83,0,1,NA,NA,NA,NA,-1.219,1.386,NA,NA,-0.092142857,-0.062714286,-0.054166667
Somateria_fischeri,-0.0899,0.04844,1304,159,84,0,1,0.556,0.2,3.031,0.638,1.171,0.36,-0.040387824,0.052975425,-0.213547859,-0.155975122,-0.03560081
Somateria_mollissima,-0.1126,0.0542,1915,160,85,0,1,0.361,0.194,0.382,0.228,0.855,0.508,-0.162228391,0.043448378,0.142058824,0.027794118,0.044460784
Sterna_dougallii,-0.0173,0.02869,110,161,86,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.027307692,0.042538462,0.02125641
Sterna_dougallii,-0.0789,0.02378,110,162,86,0,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.002878438,0.015615385,0.001179487
Sterna_dougallii,0.00691,0.03341,110,163,86,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.022076923,-0.000692308,0.009666667
Sterna_dougallii,0.0058,0.03492,110,164,86,0,1,0.144,0.354,NA,NA,-0.308,0.999,-0.058186142,0.058674389,-0.003502415,0.025256039,0.009958937
Sterna_hirundo,-0.0507,0.02517,120,165,87,0,1,0.078,0.113,1.478,0.274,0.627,0.568,-0.054597504,0.024830165,0.020512821,-0.002495726,0.004330484
Strix_aluco,0.02378,0.02384,524,166,88,0,0,-0.611,0.233,0.583,0.706,-0.095,0.149,0.027909019,0.023648338,-0.128439006,-0.020177976,0.015823137
Strix_aluco,-0.0215,0.01361,524,167,88,0,0,-0.253,0.144,-0.202,0.276,0.003,0.001,-0.005787019,0.014021788,0.078902439,0.047270169,0.031629143
Strix_aluco,-0.008,0.02071,524,168,88,0,0,-0.091,0.185,-0.351,0.239,-0.001,0.158,-0.024183366,0.020269873,0.054144265,0.041644265,0.044254032
Strix_uralensis,0.00854,0.01346,863,169,89,0,0,-0.276,0.123,0.092,0.134,0.001,0.126,0.006216935,0.013496635,0.123606272,0.042543554,0.021788618
Sturnus_unicolor,0.0209,0.05243,85.5,170,90,1,0,-0.012,0.22,-0.157,0.463,0.798,0.306,-0.04424541,0.051451602,-0.035703701,0.035153398,-0.01631811
Sturnus_vulgaris,0.01691,0.03008,79.9,171,91,0,1,-0.01,0.108,0.025,0.074,-0.155,0.281,-0.039405541,0.02881822,0.075080581,0.044785015,0.113118044
Sula_nebouxii,-0.0517,0.02509,1530,172,92,0,0,0.365,0.926,-0.801,1.185,1.497,0.595,-0.024254337,0.026762462,0.006290598,-0.021846154,0.003779332
Synthliboramphus_antiquus,0.07926,0.03324,206,173,93,0,0,-0.294,0.142,3.688,0.548,-0.383,0.258,0.066119076,0.034717654,0.034271284,0.043650794,0.029220779
Synthliboramphus_antiquus,0.04421,0.022,206,174,93,0,0,-0.348,0.111,0.059,0.125,-0.255,0.106,0.031931911,0.021047078,0.010725806,0.033669355,0.02719086
Tachycineta_bicolor,0.00304,0.02567,20.1,175,94,0,1,-0.16,0.076,-0.37,0.142,0.004,0.613,0.048883876,0.023743532,0.032861891,0.118418231,0.093522848
Tachycineta_bicolor,0.00512,0.04086,20.1,176,94,0,1,-0.059,0.149,-0.413,0.261,0.039,0.896,-0.039268851,0.039814253,0.062406015,-0.034252297,-0.064223058
Tachymarptis_melba,0.01578,0.04071,104,177,95,0,1,-0.106,0.217,0.55,0.556,0.0001,0.005,0.009936488,0.040808805,0.07222807,-0.067960223,0.051038375
Tachymarptis_melba,-0.0272,0.04379,104,178,95,0,1,0.018,0.231,-0.218,0.441,0.881,0.788,-0.055992561,0.042146918,0.071695906,-0.046830787,0.04638369
Tetrao_tetrix,0.03152,0.01426,910,179,96,0,0,-0.121,NA,NA,NA,-0.294,0.21,NA,NA,0.069032279,0.069032279,0.032362184
Tetrao_urogallus,0.03427,0.01408,1800,180,97,0,0,-0.121,0.029,NA,NA,-0.468,0.188,NA,NA,0.069032279,0.069032279,0.032362184
Tetrao_urogallus,-0.095,0.02321,1800,181,97,0,0,NA,NA,NA,NA,0.089,0.006,NA,NA,0.036763285,0.018236715,-0.01031401
Thalassarche_chrysostoma,-0.0277,0.02366,3264,182,98,0,1,-0.058,0.023,-0.061,0.091,0.006,0.005,NA,NA,0.043329291,0.039854384,0.019061659
Thalassarche_melanophrys,0.00486,0.018,3206,183,99,0,1,-0.058,0.02,0.041,0.076,-0.001,0.003,NA,NA,0.016076404,0.04939232,0.010798909
Troglodytes_aedon,0.01356,0.01444,10.9,184,100,1,1,-0.222,0.061,0.021,0.084,-0.061,0.19,0.013560465,0.014436113,0.015791204,0.043043684,0.011554845
Turdus_merula,-0.0312,0.0372,113,185,101,1,1,-0.134,0.308,0.909,0.596,0.313,0.237,-0.025640016,0.037427345,0.02950938,0.020151515,0.021096681
Tyto_alba,0.03289,0.02341,350,186,102,1,0,-0.143,0.253,0.774,0.637,0.445,0.201,0.062279202,0.020982567,-0.030114944,-0.021936392,0.036981288
Tyto_alba,-0.072,0.06101,350,187,102,0,0,0.294,0.373,0.093,1.967,0.089,0.381,NA,NA,-0.040357143,0.082678571,0.106160714
Uria_aalge,-0.035,0.01538,979,188,103,0,1,-0.005,0.076,-0.163,0.113,0.423,0.185,NA,NA,0.025817246,0.042097812,0.008806902
Uria_aalge,-0.0394,0.01488,979,189,103,0,1,-0.004,0.098,0.421,0.218,0.64,0.242,NA,NA,-0.004610647,0.000567215,0.01551333
Uria_aalge,-0.0276,0.03254,979,190,103,0,1,-0.06,0.283,-0.187,0.462,0.909,1.071,NA,NA,0.02431928,0.031236276,0.039415898
Uria_aalge,-0.0242,0.01787,979,191,103,0,1,0.0111,0.082,0.005,0.133,0.374,0.276,NA,NA,0.011909582,0.015283401,0.015412731
Uria_aalge,-0.0175,0.03025,979,192,103,0,1,0.319,0.187,-0.42,0.242,0.334,0.578,NA,NA,0.038418803,0.016068376,0.024444444
Uria_aalge,-0.0336,0.0157,979,193,103,0,1,0.098,0.077,-0.475,0.282,0.606,0.299,NA,NA,0.018351214,0.028345567,0.056339795
Uria_aalge,-0.0285,0.02725,979,194,103,0,1,0.135,0.192,0.232,0.184,0.865,0.749,NA,NA,0.018914956,0.034182551,0.035153959
Uria_lomvia,-0.049,0.01478,964,195,104,0,1,-0.0004,0.089,0.084,0.139,0.808,0.244,NA,NA,0.018351214,0.028345567,0.056339795
Uria_lomvia,-0.0251,0.01443,964,196,104,0,1,0.178,0.08,0.321,0.126,0.358,0.206,NA,NA,-0.004610647,0.000567215,0.01551333
Uria_lomvia,-0.0531,0.03092,964,197,104,0,1,NA,NA,NA,NA,1.317,1.316,NA,NA,0.02431928,0.031236276,0.039415898
Uria_lomvia,-0.0703,0.01733,964,198,104,0,1,0.2,0.076,-0.156,0.154,0.747,0.184,NA,NA,0.018180695,0.023606476,0.024001978
Uria_lomvia,-0.0305,0.01738,964,199,104,0,1,0.086,0.073,0.017,0.136,0.463,0.264,NA,NA,0.011909582,0.015283401,0.015412731
Uria_lomvia,0.00507,0.03046,964,200,104,0,1,0.379,0.183,0.266,0.239,-0.099,0.593,NA,NA,0.038418803,0.016068376,0.024444444
Uria_lomvia,-0.0117,0.02794,964,201,104,0,1,0.065,0.14,0.149,0.14,0.337,0.703,NA,NA,0.018914956,0.034182551,0.035153959